timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614790873278,679,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-301,,true,,195584,1281,2,34,null,0,1,62
1614790873279,71,Create Bag HTTP Request,201,,Spike Test 1-301,text,true,,321,226,2,22,http://localhost:9090/bag/create,71,0,62
1614790873350,22,Create Item HTTP Request,201,,Spike Test 1-301,text,true,,306,249,2,22,http://localhost:9090/item/create,22,0,0
1614790873372,283,Read Bag HTTP Request,200,,Spike Test 1-301,text,true,,194027,160,2,28,http://localhost:9090/bag/read/1,280,0,0
1614790873655,71,Read Item HTTP Request,200,,Spike Test 1-301,text,true,,303,161,2,29,http://localhost:9090/item/read/1,70,0,0
1614790873726,186,Update Bag HTTP Request,202,,Spike Test 1-301,text,true,,316,227,2,33,http://localhost:9090/bag/update/2,186,0,0
1614790873912,46,Update Item HTTP Request,202,,Spike Test 1-301,text,true,,311,258,2,34,http://localhost:9090/item/update/2,46,0,0
1614790873278,777,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-752,,true,,195629,1281,2,36,null,0,1,126
1614790873279,127,Create Bag HTTP Request,201,,Spike Test 1-752,text,true,,321,226,2,23,http://localhost:9090/bag/create,127,0,126
1614790873406,5,Create Item HTTP Request,201,,Spike Test 1-752,text,true,,306,249,2,23,http://localhost:9090/item/create,5,0,0
1614790873411,263,Read Bag HTTP Request,200,,Spike Test 1-752,text,true,,194072,160,2,28,http://localhost:9090/bag/read/1,260,0,0
1614790873674,64,Read Item HTTP Request,200,,Spike Test 1-752,text,true,,303,161,2,29,http://localhost:9090/item/read/1,63,0,0
1614790873738,176,Update Bag HTTP Request,202,,Spike Test 1-752,text,true,,316,227,2,33,http://localhost:9090/bag/update/2,175,0,0
1614790873914,142,Update Item HTTP Request,202,,Spike Test 1-752,text,true,,311,258,2,36,http://localhost:9090/item/update/2,141,0,0
1614790874051,1895,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-301,,true,,197519,1281,2,74,null,0,0,9
1614790874051,127,Create Bag HTTP Request,201,,Spike Test 1-301,text,true,,321,226,2,38,http://localhost:9090/bag/create,126,0,9
1614790874178,5,Create Item HTTP Request,201,,Spike Test 1-301,text,true,,306,249,2,38,http://localhost:9090/item/create,5,0,0
1614790874183,487,Read Bag HTTP Request,200,,Spike Test 1-301,text,true,,195962,160,2,48,http://localhost:9090/bag/read/1,484,0,0
1614790874670,204,Read Item HTTP Request,200,,Spike Test 1-301,text,true,,303,161,2,52,http://localhost:9090/item/read/1,204,0,0
1614790874874,327,Update Bag HTTP Request,202,,Spike Test 1-301,text,true,,316,227,2,59,http://localhost:9090/bag/update/2,327,0,0
1614790875201,745,Update Item HTTP Request,202,,Spike Test 1-301,text,true,,311,258,2,74,http://localhost:9090/item/update/2,741,0,0
1614790874081,1964,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-752,,true,,198695,1281,2,76,null,0,0,31
1614790874081,369,Create Bag HTTP Request,201,,Spike Test 1-752,text,true,,321,226,2,44,http://localhost:9090/bag/create,369,0,31
1614790874450,5,Create Item HTTP Request,201,,Spike Test 1-752,text,true,,306,249,2,44,http://localhost:9090/item/create,5,0,0
1614790874455,982,Read Bag HTTP Request,200,,Spike Test 1-752,text,true,,197138,160,2,63,http://localhost:9090/bag/read/1,979,0,0
1614790875437,53,Read Item HTTP Request,200,,Spike Test 1-752,text,true,,303,161,2,64,http://localhost:9090/item/read/1,52,0,0
1614790875490,2,Update Bag HTTP Request,202,,Spike Test 1-752,text,true,,316,227,2,64,http://localhost:9090/bag/update/2,2,0,0
1614790875492,553,Update Item HTTP Request,202,,Spike Test 1-752,text,true,,311,258,2,76,http://localhost:9090/item/update/2,552,0,0
1614790876050,2699,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-752,,true,,203242,1281,2,102,null,0,0,3
1614790876050,292,Create Bag HTTP Request,201,,Spike Test 1-752,text,true,,321,226,2,81,http://localhost:9090/bag/create,292,0,3
1614790876342,336,Create Item HTTP Request,201,,Spike Test 1-752,text,true,,306,249,2,88,http://localhost:9090/item/create,336,0,0
1614790876678,1359,Read Bag HTTP Request,200,,Spike Test 1-752,text,true,,201685,160,2,102,http://localhost:9090/bag/read/1,1355,0,0
1614790878037,605,Read Item HTTP Request,200,,Spike Test 1-752,text,true,,303,161,2,102,http://localhost:9090/item/read/1,604,0,0
1614790878642,1,Update Bag HTTP Request,202,,Spike Test 1-752,text,true,,316,227,2,102,http://localhost:9090/bag/update/2,1,0,0
1614790878643,106,Update Item HTTP Request,202,,Spike Test 1-752,text,true,,311,258,2,102,http://localhost:9090/item/update/2,104,0,0
1614790876035,3002,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-301,,true,,203242,1281,2,102,null,0,0,14
1614790876035,1004,Create Bag HTTP Request,201,,Spike Test 1-301,text,true,,321,226,2,95,http://localhost:9090/bag/create,1004,0,14
1614790877039,3,Create Item HTTP Request,201,,Spike Test 1-301,text,true,,306,249,2,95,http://localhost:9090/item/create,3,0,0
1614790877042,880,Read Bag HTTP Request,200,,Spike Test 1-301,text,true,,201685,160,2,102,http://localhost:9090/bag/read/1,876,0,0
1614790877922,606,Read Item HTTP Request,200,,Spike Test 1-301,text,true,,303,161,2,102,http://localhost:9090/item/read/1,606,0,0
1614790878528,18,Update Bag HTTP Request,202,,Spike Test 1-301,text,true,,316,227,2,102,http://localhost:9090/bag/update/2,18,0,0
1614790878546,491,Update Item HTTP Request,202,,Spike Test 1-301,text,true,,311,258,2,102,http://localhost:9090/item/update/2,477,0,0
1614790878970,2040,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-752,,true,,205402,1281,2,102,null,0,0,80
1614790878970,466,Create Bag HTTP Request,201,,Spike Test 1-752,text,true,,321,226,2,102,http://localhost:9090/bag/create,466,0,80
1614790879436,1,Create Item HTTP Request,201,,Spike Test 1-752,text,true,,306,249,2,102,http://localhost:9090/item/create,1,0,0
1614790879437,92,Read Bag HTTP Request,200,,Spike Test 1-752,text,true,,203845,160,2,102,http://localhost:9090/bag/read/1,89,0,0
1614790879529,518,Read Item HTTP Request,200,,Spike Test 1-752,text,true,,303,161,2,102,http://localhost:9090/item/read/1,517,0,0
1614790880047,923,Update Bag HTTP Request,202,,Spike Test 1-752,text,true,,316,227,2,102,http://localhost:9090/bag/update/2,923,0,0
1614790880970,40,Update Item HTTP Request,202,,Spike Test 1-752,text,true,,311,258,2,102,http://localhost:9090/item/update/2,40,0,0
1614790881011,1292,Spike Test Transaction Controller,200,"Number of samples in transaction : 6, number of failing samples : 0",Spike Test 1-752,,true,,208514,1281,2,102,null,0,2,19
1614790881011,20,Create Bag HTTP Request,201,,Spike Test 1-752,text,true,,321,226,2,102,http://localhost:9090/bag/create,20,0,19
1614790881031,1,Create Item HTTP Request,201,,Spike Test 1-752,text,true,,306,249,2,102,http://localhost:9090/item/create,1,0,0
1614790881032,668,Read Bag HTTP Request,200,,Spike Test 1-752,text,true,,206957,160,2,102,http://localhost:9090/bag/read/1,665,0,0
1614790881700,73,Read Item HTTP Request,200,,Spike Test 1-752,text,true,,303,161,2,102,http://localhost:9090/item/read/1,40,0,0
1614790881774,472,Update Bag HTTP Request,202,,Spike Test 1-752,text,true,,316,227,2,102,http://localhost:9090/bag/update/2,472,0,0
1614790882246,58,Update Item HTTP Request,202,,Spike Test 1-752,text,true,,311,258,2,102,http://localhost:9090/item/update/2,56,0,0
